"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000163064",-8.28392791369973,-8.2908755303624,5.9165372832362,7.63309518216303e-09,0.000138830735173181
"ENSG00000171428",7.07574736180327,7.07671046853293,7.48273692267086,6.31645686943522e-08,0.000574418587706439
"ENSG00000204385",8.28136169212583,8.2849724830162,6.77318390315846,1.37009873174636e-06,0.00830645191100095
"ENSG00000150667",6.52336934300957,6.53282579270088,4.57187948062174,2.56719472864856e-06,0.00938138701036082
"ENSG00000259459",8.62359311643082,8.67162228233696,3.26402812225888,2.63853135371198e-06,0.00938138701036082
"ENSG00000174371",-3.52422366741838,-3.52476004585278,4.63113247630478,4.29391776065225e-06,0.00938138701036082
"ENSG00000173467",9.91134578186802,9.931570962015,6.05553814154329,4.3166926948314e-06,0.00938138701036082
"ENSG00000029725",3.33306837459688,3.33315415659954,7.39732508534206,5.02916689790335e-06,0.00938138701036082
"ENSG00000144354",-4.95722713668924,-4.95905276603376,4.58522448330113,5.45824410611986e-06,0.00938138701036082
"ENSG00000187720",5.52517012954366,5.52550278556276,7.68337693677274,5.52222678141294e-06,0.00938138701036082
"ENSG00000225362",7.20727964690561,7.24431186898411,2.98852433702803,6.49083341709384e-06,0.00938138701036082
"ENSG00000163879",5.69687167336962,5.69905272281453,5.42469843410957,7.71203645618439e-06,0.00938138701036082
"ENSG00000256612",12.3412013118305,12.3849639896406,7.35193315053049,7.98125380057118e-06,0.00938138701036082
"ENSG00000120262",5.59650237180051,5.5991969648188,4.59507901446568,8.12599101973508e-06,0.00938138701036082
"ENSG00000245750",7.47583846919994,7.49178438277576,3.60039729379452,8.46383511168148e-06,0.00938138701036082
"ENSG00000163072",4.31214016569498,4.31313793334258,4.80530158429532,8.90719506439564e-06,0.00938138701036082
"ENSG00000178999",-4.06124639242708,-4.06188511125251,4.83860828463317,8.96529077256023e-06,0.00938138701036082
"ENSG00000074410",6.97788874158088,6.9782154443344,8.9755171491906,9.28441643866807e-06,0.00938138701036082
"ENSG00000235584",10.7744955056334,11.0237883244009,3.63096648737846,9.88960876387556e-06,0.00941232910934439
"ENSG00000175287",5.6362923333858,5.63958737424993,4.48290276426128,1.03500430056569e-05,0.00941232910934439
"ENSG00000186603",-6.05214279233529,-6.06217265961204,2.75848476847965,1.15006535212172e-05,0.00970058414138834
"ENSG00000130707",-4.35146089324579,-4.35165542874617,6.88640174672215,1.34812279528087e-05,0.00970058414138834
"ENSG00000160182",10.2001534540569,10.2357375866449,5.53339843814386,1.4271832468875e-05,0.00970058414138834
"ENSG00000143674",-4.12713491664129,-4.12818912718622,4.16733236646246,1.48766322817099e-05,0.00970058414138834
"ENSG00000145703",5.03852013955162,5.03895215474407,6.61425050558481,1.50877057108907e-05,0.00970058414138834
"ENSG00000047346",4.41648040755781,4.41673081846129,6.77126095554775,1.5253065753279e-05,0.00970058414138834
"ENSG00000251141",7.27293933992165,7.27691782945277,6.29135539428559,1.5343503739268e-05,0.00970058414138834
"ENSG00000183888",9.21079472377016,9.31180343742558,3.08171702408771,1.54131070842869e-05,0.00970058414138834
"ENSG00000108932",4.64601113794107,4.64778611600199,4.17044954554203,1.54671728667397e-05,0.00970058414138834
"ENSG00000286379",7.22848504148908,7.2401423332802,4.19299947107218,1.66205745897124e-05,0.0100765003545896
"ENSG00000091831",8.34799291875328,8.34911851883009,9.02610450201595,1.72531942472414e-05,0.0101226160312525
"ENSG00000143882",-5.66850918668136,-5.67317577089704,3.27279618314618,1.87418468430734e-05,0.0106523971994319
"ENSG00000101057",-5.27573900673987,-5.27601514930326,7.27437761118675,2.08302993629953e-05,0.0111871864293763
"ENSG00000254726",-4.54340228459277,-4.54369678457191,6.42930298471058,2.09129282273364e-05,0.0111871864293763
"ENSG00000109436",5.61120591494987,5.61135329363972,8.85987181754306,2.27266187111478e-05,0.0118056388641793
"ENSG00000178568",6.17090405611935,6.17412638745846,5.58598825604133,2.33672200962423e-05,0.0118056388641793
"ENSG00000132554",8.64934129128521,8.68662324890199,3.59749134229143,2.56801591743993e-05,0.0121496793743274
"ENSG00000175063",-4.79771525010098,-4.7980497146616,6.49281793271259,2.57375781439837e-05,0.0121496793743274
"ENSG00000126878",-4.49565938299644,-4.49587905151383,6.66370172472992,2.72463620974553e-05,0.0121496793743274
"ENSG00000173210",5.19200781123193,5.19305763026293,5.46349064250762,2.74992972519304e-05,0.0121496793743274
