,Basal18,Basal73,Basal98,Basal103,Basal109,LumA18,LumA73,LumA98,LumA103,LumA109
ENSG00000000003,6807,5526,2056,2509,2881,17957,580,1100,1598,850
ENSG00000000419,3229,3191,4408,2492,1503,2637,3273,2200,1316,1680
ENSG00000000457,1444,1264,329,1096,519,1883,2250,2375,1002,1559
ENSG00000000460,1416,1274,289,881,844,675,896,779,471,402
ENSG00000000938,588,582,428,4129,309,443,860,284,110,334
ENSG00000000971,1323,2667,270,16605,1600,5233,7593,103,1530,1271
ENSG00000001036,3163,2822,8151,4250,1404,2733,4066,2047,727,1713
ENSG00000001084,1760,1802,1126,3447,691,3908,4688,4247,2505,3670
ENSG00000001167,65310,4675,2432,6015,2180,5719,3268,4143,2339,2376
ENSG00000001460,1454,451,379,442,305,1081,847,1015,821,595
ENSG00000001461,3156,1930,585,3433,1130,6855,7762,12090,1058,3979
ENSG00000001497,6125,5786,8707,4866,1616,4754,4130,4443,3213,3016
ENSG00000001561,1784,441,335,2620,433,5072,5171,4636,115,3559
ENSG00000001617,2383,4041,3547,1969,628,12783,6301,8587,8767,7080
ENSG00000001629,2963,3710,2513,9163,4606,7684,7105,3860,4217,4072
ENSG00000001630,65,165,36,139,15,185,101,156,148,118
ENSG00000001631,384,399,370,444,284,658,495,307,269,319
ENSG00000002016,388,222,552,492,1245,721,832,994,285,508
ENSG00000002330,434,450,297,304,112,801,584,964,473,222
ENSG00000002549,11571,6024,6925,32638,4841,9392,9837,8299,4434,5114
ENSG00000002586,16949,21066,4451,18039,3451,10263,14191,1596,7332,2867
ENSG00000002587,284,265,280,736,177,289,406,32,101,150
ENSG00000002726,97,25,43,413,40,17,53,4,555,10
ENSG00000002746,29,68,44,37,49,8,34,6,7,201
ENSG00000002822,12,21,16,147,9,7,102,11,10,12
ENSG00000002834,5886,16148,8559,21745,4551,38198,29427,32482,21293,18309
ENSG00000002919,1244,1731,941,3348,542,2576,2247,2521,1537,1540
ENSG00000002933,2036,4048,471,10219,607,1336,2557,238,2864,502
ENSG00000003056,2377,2172,2205,12108,5597,3752,13428,6856,2122,3798
ENSG00000003096,529,256,49,229,316,732,425,59,552,551
ENSG00000003137,279,513,195,1995,85,194,63,27,57,79
ENSG00000003147,1778,1898,1069,920,660,6170,7019,8885,1703,3587
ENSG00000003249,18688,1985,2827,773,1493,1622,517,2037,2493,716
ENSG00000003393,1197,1995,1156,2041,782,3489,1824,2990,1444,1657
ENSG00000003400,405,183,569,2854,415,816,1183,170,230,413
ENSG00000003402,4960,3617,2747,13695,2135,9050,9487,6668,2987,4957
ENSG00000003436,386,539,124,2884,626,1203,2552,109,459,376
ENSG00000003509,983,991,1333,1003,555,1149,912,1204,458,608
ENSG00000003756,2954,1690,1306,4546,1384,8064,5275,9048,2239,3239
ENSG00000003987,106,42,31,77,186,154,119,88,87,39
ENSG00000003989,287,46,145,1691,437,1690,44071,9,13331,3950
ENSG00000004059,8258,9364,12696,5655,2668,6629,4179,2896,5708,4519
ENSG00000004139,195,69,69,467,115,246,309,221,187,154
ENSG00000004142,12476,11182,8986,6545,2329,10224,9371,11808,6555,6187
ENSG00000004399,6190,6947,12987,22857,8530,7252,17792,11979,7862,5280
ENSG00000004455,10393,15138,15742,11458,4225,12247,10778,12343,7269,7516
ENSG00000004468,470,65,162,3778,458,133,325,8,22,144
ENSG00000004478,12284,8265,14583,14422,28419,18167,18176,26338,37153,14740
ENSG00000004487,14534,7403,10002,5707,5761,10433,10566,10994,5745,5743
ENSG00000004534,4622,2773,3149,5128,1658,7452,6427,11314,3357,3094
ENSG00000004660,2447,1709,911,605,321,1402,1158,1945,214,1322
ENSG00000004700,788,849,792,5609,2266,1710,4011,1868,680,1184
ENSG00000004766,1310,2154,887,3340,1340,3079,3343,1421,1478,2621
ENSG00000004776,44,20,73,754,15,90,102,6,11,27
ENSG00000004777,1775,415,430,751,192,1104,463,1275,579,297
ENSG00000004779,5385,5519,2925,3286,946,3162,4485,4772,2039,3177
ENSG00000004799,1875,213,130,16416,2248,1761,7635,76,677,1055
ENSG00000004838,277,43,32,42,8,2412,494,1082,1094,747
